From Date,To Date,pm2_5,pm10,NO,NO2,NOx
06-10-2021 09:45,06-10-2021 10:00,59,107,3,14.3,17.3
06-10-2021 10:00,06-10-2021 10:15,56,108,2.8,12,14.7
06-10-2021 10:15,06-10-2021 10:30,56,108,4.2,12.1,16.2
06-10-2021 10:30,06-10-2021 10:45,56,108,3,11.5,14.5
06-10-2021 10:45,06-10-2021 11:00,56,108,5,9.6,14.6
06-10-2021 11:00,06-10-2021 11:15,38,68,4.6,9.4,13.9
06-10-2021 11:15,06-10-2021 11:30,38,68,4.3,9.9,14.2
06-10-2021 11:30,06-10-2021 11:45,38,68,2.1,8.8,10.9
06-10-2021 11:45,06-10-2021 12:00,38,68,1.5,8.4,9.9
06-10-2021 12:00,06-10-2021 12:15,20,48,6.4,6.5,12.9
06-10-2021 12:15,06-10-2021 12:30,20,48,3.3,7.4,10.7
06-10-2021 12:30,06-10-2021 12:45,20,48,3.2,6.5,9.7
06-10-2021 12:45,06-10-2021 13:00,20,48,4.9,7.9,12.7
06-10-2021 13:00,06-10-2021 13:15,20,42,3.5,8.4,11.9
06-10-2021 13:15,06-10-2021 13:30,20,42,3.9,7.5,11.4
06-10-2021 13:30,06-10-2021 13:45,20,42,4.2,6.7,10.8
06-10-2021 13:45,06-10-2021 14:00,20,42,3.6,8.1,11.7
06-10-2021 14:00,06-10-2021 14:15,16,35,4.1,6.5,10.6
06-10-2021 14:15,06-10-2021 14:30,16,35,2.4,7.6,9.9
06-10-2021 14:30,06-10-2021 14:45,16,35,2.7,7.2,9.9
06-10-2021 14:45,06-10-2021 15:00,16,35,3,7.3,10.3
06-10-2021 15:00,06-10-2021 15:15,18,45,3.8,6.6,10.3
06-10-2021 15:15,06-10-2021 15:30,18,45,2.7,7.9,10.6
06-10-2021 15:30,06-10-2021 15:45,18,45,2.8,7.1,9.8
06-10-2021 15:45,06-10-2021 16:00,18,45,3.2,6.3,9.5
06-10-2021 16:00,06-10-2021 16:15,19,44,2.7,6.5,9.2
06-10-2021 16:15,06-10-2021 16:30,19,44,3.3,7.3,10.5
06-10-2021 16:30,06-10-2021 16:45,19,44,3.2,8.8,12
06-10-2021 16:45,06-10-2021 17:00,19,44,2.1,9.6,11.7
06-10-2021 17:00,06-10-2021 17:15,23,55,4.1,7.6,11.7
06-10-2021 17:15,06-10-2021 17:30,23,55,5.1,6.9,11.9
06-10-2021 17:30,06-10-2021 17:45,23,55,3.6,6.4,10
06-10-2021 17:45,06-10-2021 18:00,23,55,4.1,7.2,11.3
06-10-2021 18:00,06-10-2021 18:15,27,63,4.1,9.1,13.2
06-10-2021 18:15,06-10-2021 18:30,27,63,4,9.8,13.8
06-10-2021 18:30,06-10-2021 18:45,27,63,4.8,10,14.7
06-10-2021 18:45,06-10-2021 19:00,27,63,2.4,13.6,16
06-10-2021 19:00,06-10-2021 19:15,46,97,4.5,12.3,16.7
06-10-2021 19:15,06-10-2021 19:30,46,97,4.3,13.6,17.9
06-10-2021 19:30,06-10-2021 19:45,46,97,5,22.9,27.9
06-10-2021 19:45,06-10-2021 20:00,46,97,5.1,22,27.1
06-10-2021 20:00,06-10-2021 20:15,47,121,3.8,20.4,24.2
06-10-2021 20:15,06-10-2021 20:30,47,121,3.5,22.7,26.2
06-10-2021 20:30,06-10-2021 20:45,47,121,3.3,20.2,23.6
06-10-2021 20:45,06-10-2021 21:00,47,121,3.7,18.6,22.3
06-10-2021 21:00,06-10-2021 21:15,56,110,1.4,20.7,22.1
06-10-2021 21:15,06-10-2021 21:30,56,110,5.5,17.6,23.1
06-10-2021 21:30,06-10-2021 21:45,56,110,5.4,20.1,25.5
06-10-2021 21:45,06-10-2021 22:00,56,110,3.3,19.6,22.9
06-10-2021 22:00,06-10-2021 22:15,57,107,3.7,18.9,22.6
06-10-2021 22:15,06-10-2021 22:30,57,107,4.9,21.1,25.9
06-10-2021 22:30,06-10-2021 22:45,57,107,6.9,20.7,27.5
06-10-2021 22:45,06-10-2021 23:00,57,107,14.6,21.9,36.4
06-10-2021 23:00,06-10-2021 23:15,51,89,11.5,21.9,33.3
06-10-2021 23:15,06-10-2021 23:30,51,89,7.4,21,28.3
06-10-2021 23:30,06-10-2021 23:45,51,89,6.5,21.1,27.7
06-10-2021 23:45,07-10-2021 00:00,51,89,18.4,19.6,38.1
07-10-2021 00:00,07-10-2021 00:15,68,256,25.3,18.7,44.1
07-10-2021 00:15,07-10-2021 00:30,68,256,17.4,19.2,36.6
07-10-2021 00:30,07-10-2021 00:45,68,256,12,19.7,31.6
07-10-2021 00:45,07-10-2021 01:00,68,256,12,19.9,31.9
